,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
500,2/10/2020 14:54,Facebook,1913,4.0,0.0020909566126502874,82777273087_10157995004278088
501,4/7/2020 11:01,Facebook,2184,11.0,0.005036630036630037,82777273087_10158179522888088
505,2/23/2020 11:13,Facebook,2353,13.0,0.0055248618784530384,82777273087_10158033110143088
507,4/14/2020 14:17,Facebook,1897,6.0,0.0031628887717448603,82777273087_10158205221933088
510,3/25/2020 10:45,Facebook,2339,12.0,0.005130397605814451,82777273087_10158132451473088
511,8/6/2020 15:38,Facebook,1529,6.0,0.003924133420536298,82777273087_10158563783328088
513,8/13/2020 15:45,Facebook,1790,9.0,0.005027932960893855,82777273087_10158581366593088
518,3/12/2020 17:24,Facebook,2049,10.0,0.004880429477794046,82777273087_10158085928218088
520,10/31/2020 14:28,Facebook,1958,18.0,0.009193054136874362,82777273087_10158773156638088
521,1/31/2020 17:06,Facebook,2045,14.0,0.006845965770171149,82777273087_10157965037073088
523,5/19/2020 14:56,Facebook,2482,16.0,0.0064464141821112,82777273087_10158329922978088
527,3/20/2020 10:41,Facebook,2558,11.0,0.004300234558248631,82777273087_10158112695763088
530,7/18/2020 15:30,Facebook,2370,12.0,0.005063291139240506,82777273087_10158513085658088
531,5/13/2020 16:40,Facebook,1752,9.0,0.005136986301369863,82777273087_10158311922323088
533,6/20/2020 15:12,Facebook,2711,22.0,0.008115086683880487,82777273087_10158428587453088
534,4/3/2020 10:41,Facebook,2010,6.0,0.0029850746268656717,82777273087_10158165950533088
537,7/17/2020 14:46,Facebook,1822,13.0,0.007135016465422613,82777273087_10158510574088088
540,2/16/2020 10:07,Facebook,2071,6.0,0.0028971511347175277,82777273087_10158012408448088
541,8/11/2020 15:13,Facebook,1466,6.0,0.004092769440654843,82777273087_10158576581563088
543,4/21/2020 19:38,Facebook,1972,14.0,0.007099391480730223,82777273087_10158233164283088
545,10/23/2020 16:40,Facebook,1624,7.0,0.004310344827586207,82777273087_10158754328063088
549,3/21/2020 11:27,Facebook,2123,8.0,0.0037682524729156855,82777273087_10158116766788088
556,6/13/2020 14:50,Facebook,2594,8.0,0.0030840400925212026,82777273087_10158407732668088
557,2/28/2020 11:40,Facebook,1505,3.0,0.0019933554817275745,82777273087_10158047473978088
563,12/3/2020 16:41,Facebook,414,4.0,0.00966183574879227,82777273087_10158848473268088
565,4/10/2020 10:41,Facebook,1659,8.0,0.004822182037371911,82777273087_10158190067388088
566,11/8/2020 9:24,Facebook,1656,6.0,0.0036231884057971015,82777273087_10158792264308088
568,12/19/2020 21:10,Facebook,1977,17.0,0.008598887202832575,82777273087_10158885983908088
571,5/4/2020 16:37,Facebook,987,4.0,0.004052684903748734,82777273087_10158281668398088
572,12/18/2020 14:20,Facebook,1151,6.0,0.005212858384013901,82777273087_10158882888468088
575,5/31/2020 10:46,Facebook,2695,14.0,0.005194805194805195,82777273087_10158366996908088
576,3/17/2020 9:17,Facebook,2123,12.0,0.005652378709373528,82777273087_10158101018628088
577,5/11/2020 11:33,Facebook,2122,8.0,0.003770028275212064,82777273087_10158305255443088
578,5/1/2020 10:44,Facebook,1385,4.0,0.002888086642599278,82777273087_10158270111528088
581,3/29/2020 18:45,Facebook,2352,8.0,0.003401360544217687,82777273087_10158149607468088
582,7/7/2020 11:29,Facebook,1861,10.0,0.0053734551316496505,82777273087_10158482934458088
587,10/22/2020 15:17,Facebook,1289,6.0,0.004654771140418929,82777273087_10158752026503088
591,8/28/2020 16:50,Facebook,2085,14.0,0.00671462829736211,82777273087_10158617648468088
592,12/5/2020 21:09,Facebook,2073,20.0,0.00964785335262904,82777273087_10158854141323088
593,9/23/2020 15:09,Facebook,1036,6.0,0.005791505791505791,82777273087_10158683218573088
594,4/3/2020 17:54,Facebook,2468,12.0,0.004862236628849271,82777273087_10158167129278088
595,3/26/2020 10:37,Facebook,2067,9.0,0.0043541364296081275,82777273087_10158136274513088
596,11/19/2020 15:53,Facebook,1979,15.0,0.007579585649317837,82777273087_10158817937033088
598,7/6/2020 9:25,Facebook,1740,9.0,0.005172413793103448,82777273087_10158479905138088
601,4/6/2020 11:03,Facebook,2041,6.0,0.002939735423811857,82777273087_10158176250958088
604,8/18/2020 13:27,Facebook,2339,11.0,0.00470286447199658,82777273087_10158592945483088
606,7/6/2020 10:55,Facebook,2564,14.0,0.00546021840873635,82777273087_10158480125723088
608,5/5/2020 19:42,Facebook,1706,8.0,0.004689331770222743,82777273087_10158285545688088
612,2/9/2020 3:42,Facebook,2319,7.0,0.00301854247520483,82777273087_10157990491088088
614,1/31/2020 17:41,Facebook,1004,8.0,0.00796812749003984,82777273087_10157965096228088
615,12/15/2020 6:11,Facebook,1486,39.0,0.026244952893674293,82777273087_10158875132013088
617,4/17/2020 13:41,Facebook,1921,11.0,0.005726184279021343,82777273087_10158216310408088
622,4/24/2020 13:03,Facebook,1297,5.0,0.0038550501156515036,82777273087_10158244159728088
623,4/14/2020 19:41,Facebook,2210,4.0,0.0018099547511312218,82777273087_10158206150583088
624,4/27/2020 19:34,Facebook,2436,14.0,0.005747126436781609,82777273087_10158257066923088
625,1/29/2020 9:44,Facebook,2275,15.0,0.006593406593406593,82777273087_10157955319268088
628,3/14/2020 15:16,Facebook,2571,16.0,0.006223259432127577,82777273087_10158092037818088
637,9/11/2020 16:57,Facebook,1571,11.0,0.007001909611712286,82777273087_10158653538303088
642,8/1/2020 15:36,Facebook,2087,10.0,0.004791566842357451,82777273087_10158550519463088
645,7/21/2020 19:00,Facebook,4234,111.0,0.026216343882853092,82777273087_3126875050723588
647,11/26/2020 8:09,Facebook,1931,20.0,0.010357327809425169,82777273087_10158832482568088
649,5/10/2020 11:14,Facebook,2369,8.0,0.0033769523005487546,82777273087_10158302036218088
653,3/9/2020 19:54,Facebook,2576,16.0,0.006211180124223602,82777273087_10158077551878088
656,5/20/2020 20:07,Facebook,1982,8.0,0.004036326942482341,82777273087_10158333781108088
657,9/1/2020 9:19,Facebook,1759,6.0,0.0034110289937464467,82777273087_10158627382878088
660,8/19/2020 18:47,Facebook,2040,13.0,0.006372549019607843,82777273087_10158595942183088
661,4/9/2020 16:15,Facebook,1092,1.0,0.0009157509157509158,82777273087_10158187316113088
663,12/22/2020 6:27,Facebook,1600,14.0,0.00875,82777273087_10158891528358088
665,2/14/2020 16:52,Facebook,1961,14.0,0.0071392146863844975,82777273087_10158007458523088
669,10/9/2020 17:15,Facebook,1738,12.0,0.006904487917146145,82777273087_10158721361528088
670,12/21/2020 16:00,Facebook,1921,39.0,0.02030192608016658,82777273087_1082006465607466
671,8/4/2020 11:11,Facebook,2243,11.0,0.00490414623272403,82777273087_10158557886348088
672,11/28/2020 21:08,Facebook,1518,12.0,0.007905138339920948,82777273087_10158837977933088
675,4/8/2020 16:23,Facebook,2016,16.0,0.007936507936507936,82777273087_10158183957043088
687,3/15/2020 18:54,Facebook,2490,9.0,0.0036144578313253013,82777273087_10158095949578088
690,9/14/2020 19:24,Facebook,1987,24.0,0.012078510317060896,82777273087_10158661662263088
692,12/25/2020 14:22,Facebook,2549,32.0,0.012553942722636328,82777273087_10158899816348088
695,5/7/2020 15:25,Facebook,1554,12.0,0.007722007722007722,82777273087_10158291972528088
698,3/7/2020 10:30,Facebook,1902,10.0,0.005257623554153523,82777273087_10158070243933088
702,5/1/2020 10:37,Facebook,1538,9.0,0.005851755526657998,82777273087_10158270093383088
703,4/18/2020 15:18,Facebook,2375,15.0,0.00631578947368421,82777273087_10158220302128088
704,4/22/2020 17:36,Facebook,1675,10.0,0.005970149253731343,82777273087_10158236896133088
709,7/29/2020 17:03,Facebook,2219,15.0,0.0067598017124831005,82777273087_10158542925598088
710,6/12/2020 19:04,Facebook,2143,8.0,0.003733084461035931,82777273087_10158405254043088
711,8/24/2020 15:17,Facebook,2001,19.0,0.009495252373813094,82777273087_10158607753938088
713,5/4/2020 11:03,Facebook,2207,21.0,0.0095151789759855,82777273087_10158280752663088
714,11/15/2020 7:32,Facebook,1240,7.0,0.00564516129032258,82777273087_10158808017078088
716,5/26/2020 15:19,Facebook,2343,15.0,0.006402048655569782,82777273087_10158351790333088
725,7/9/2020 17:24,Facebook,2392,11.0,0.00459866220735786,82777273087_10158489132208088
729,2/18/2020 10:03,Facebook,1568,3.0,0.001913265306122449,82777273087_10158018069943088
730,2/26/2020 10:24,Facebook,1976,17.0,0.00860323886639676,82777273087_10158041333178088
733,5/16/2020 15:19,Facebook,2578,15.0,0.0058184639255236615,82777273087_10158320860028088
736,9/17/2020 15:43,Facebook,1693,10.0,0.005906674542232723,82777273087_10158669039848088
741,6/30/2020 15:36,Facebook,2146,13.0,0.0060577819198508855,82777273087_10158461238673088
743,6/27/2020 10:32,Facebook,2478,25.0,0.010088781275221953,82777273087_10158449322213088
744,5/18/2020 19:30,Facebook,2273,20.0,0.008798944126704795,82777273087_10158327552193088
746,10/2/2020 15:52,Facebook,1871,13.0,0.00694815606627472,82777273087_10158704909308088
751,7/31/2020 10:43,Facebook,2125,13.0,0.00611764705882353,82777273087_10158547384923088
752,8/11/2020 11:10,Facebook,2517,10.0,0.003972983710766786,82777273087_10158576027613088
754,4/2/2020 11:00,Facebook,1979,13.0,0.006568974229408792,82777273087_10158162522313088
757,12/11/2020 13:36,Facebook,1116,6.0,0.005376344086021506,82777273087_10158866812188088
758,5/24/2020 11:13,Facebook,1311,10.0,0.007627765064836003,82777273087_10158345121988088
760,3/16/2020 19:48,Facebook,2030,12.0,0.005911330049261084,82777273087_10158099316453088
761,7/5/2020 14:46,Facebook,2095,11.0,0.005250596658711217,82777273087_10158477891208088
762,4/20/2020 11:00,Facebook,1766,6.0,0.0033975084937712344,82777273087_10158227542458088
763,10/21/2020 14:43,Facebook,1633,12.0,0.007348438456827924,82777273087_10158749704658088
766,11/11/2020 13:35,Facebook,1823,13.0,0.007131102578167855,82777273087_10158799215683088
768,10/10/2020 22:09,Facebook,2280,18.0,0.007894736842105263,82777273087_10158724831553088
769,11/30/2020 16:00,Facebook,1240,29.0,0.02338709677419355,82777273087_288086319245824
771,2/25/2020 10:01,Facebook,2008,12.0,0.00597609561752988,82777273087_10158038552993088
773,9/7/2020 11:00,Facebook,2137,11.0,0.005147402901263453,82777273087_10158642785318088
774,4/12/2020 10:45,Facebook,2323,13.0,0.005596211795092553,82777273087_10158197465543088
781,9/13/2020 10:19,Facebook,1665,15.0,0.009009009009009009,82777273087_10158657872398088
782,7/17/2020 17:30,Facebook,1344,9.0,0.006696428571428571,82777273087_10158510883488088
785,7/2/2020 10:47,Facebook,2737,18.0,0.006576543660942638,82777273087_10158468182088088
786,8/22/2020 15:37,Facebook,1908,11.0,0.005765199161425576,82777273087_10158602984448088
790,7/25/2020 10:27,Facebook,1648,19.0,0.011529126213592233,82777273087_10158531170438088
791,9/15/2020 11:00,Facebook,1584,12.0,0.007575757575757576,82777273087_10158663336328088
793,1/27/2020 7:13,Facebook,6846,121.0,0.017674554484370435,82777273087_10157948036823088
794,7/7/2020 9:15,Facebook,2275,14.0,0.006153846153846154,82777273087_10158482628363088
795,1/16/2020 9:59,Facebook,2716,30.0,0.011045655375552283,82777273087_10157916029528088
799,4/5/2020 15:10,Facebook,2576,12.0,0.004658385093167702,82777273087_10158173458353088
800,9/5/2020 10:50,Facebook,2324,21.0,0.009036144578313253,82777273087_10158637836318088
804,7/12/2020 13:14,Facebook,2441,14.0,0.005735354362965997,82777273087_10158496920518088
807,3/6/2020 9:48,Facebook,1625,10.0,0.006153846153846154,82777273087_10158067325123088
811,9/15/2020 17:08,Facebook,1582,16.0,0.010113780025284451,82777273087_10158664060093088
820,2/11/2020 10:05,Facebook,1970,11.0,0.005583756345177665,82777273087_10157997129493088
822,9/12/2020 16:09,Facebook,2274,15.0,0.006596306068601583,82777273087_10158635850208088
